Qty,Value,Device,Package,Parts,MFGN,MFGP
1,,2X10JTAG,2X10JTAG,U$19,CNC Tech,3220-20-0100-00
1,,BARREL_CUI_PJ-002A,BARREL_CUI_PJ-002A,U$3,CUI,PJ-002A
1,,DF12_F,DF12_F,U$4,Hirose,DF12(3.0)-40DP-0.5V(86)
,,,,,,
,,,,,,
1,,RA_BUTTON,RA_BUTTON,U$9,TE Connectivity,2-1825027-0
,,,,,,
1,,SWITCH-TACTILE,ESWITCH-TL3301PF,U$2,E-Switch,TL3301PF160QG
1,,V_REG_78XX,TO220-TRACO,IC1,,
,,,,,,
1,0.1uF,RF-C0805,C0805,U$10,Murata,GRM21BR71H104MA01L
1,10k,RF-R0805,RF-C0805,U$7,Vishay Dale,CRCW080510K0FKEA
1,10uF,RF-C0805,C0805,U$24,Murata,GRM219R61E106KA12D
2,10uF,RF-C1210,C1210K,"U$6, U$13",Murata,GRM32ER71H106KA12L
1,1uF,RF-C0805,C0805,U$11,Murata,GRJ21BR71H105KE01L
